"","station","time","MSL"
"1","9410170",1994-01-01,-0.001
"2","9410170",1994-02-01,-0.056
"3","9410170",1994-03-01,-0.062
"4","9410170",1994-04-01,-0.12
"5","9410170",1994-05-01,-0.069
"6","9410170",1994-06-01,-0.003
"7","9410170",1994-07-01,0.042
"8","9410170",1994-08-01,0.085
"9","9410170",1994-09-01,0.082
"10","9410170",1994-10-01,0.064
"11","9410170",1994-11-01,0.005
"12","9410170",1994-12-01,0.015
"13","9410170",1995-01-01,-0.002
"14","9410170",1995-02-01,0.004
"15","9410170",1995-03-01,-0.028
"16","9410170",1995-04-01,-0.113
"17","9410170",1995-05-01,-0.079
"18","9410170",1995-06-01,-0.019
"19","9410170",1995-07-01,0.023
"20","9410170",1995-08-01,0.098
"21","9410170",1995-09-01,0.087
"22","9410170",1995-10-01,0.036
"23","9410170",1995-11-01,-0.008
"24","9410170",1995-12-01,-0.013
"25","9410170",1996-01-01,-0.075
"26","9410170",1996-02-01,-0.052
"27","9410170",1996-03-01,-0.091
"28","9410170",1996-04-01,-0.106
"29","9410170",1996-05-01,-0.036
"30","9410170",1996-06-01,-0.029
"31","9410170",1996-07-01,0.012
"32","9410170",1996-08-01,0.06
"33","9410170",1996-09-01,0.075
"34","9410170",1996-10-01,0.043
"35","9410170",1996-11-01,-0.026
"36","9410170",1996-12-01,-0.035
"37","9410170",1997-01-01,-0.057
"38","9410170",1997-02-01,-0.074
"39","9410170",1997-03-01,-0.036
"40","9410170",1997-04-01,-0.073
"41","9410170",1997-05-01,0.035
"42","9410170",1997-06-01,0.061
"43","9410170",1997-07-01,0.071
"44","9410170",1997-08-01,0.153
"45","9410170",1997-09-01,0.19
"46","9410170",1997-10-01,0.216
"47","9410170",1997-11-01,0.205
"48","9410170",1997-12-01,0.178
"49","9410170",1998-01-01,0.11
"50","9410170",1998-02-01,0.028
"51","9410170",1998-03-01,0.01
"52","9410170",1998-04-01,-0.087
"53","9410170",1998-05-01,-0.046
"54","9410170",1998-06-01,-0.015
"55","9410170",1998-07-01,0.074
"56","9410170",1998-08-01,0.098
"57","9410170",1998-09-01,0.088
"58","9410170",1998-10-01,0.019
"59","9410170",1998-11-01,-0.011
"60","9410170",1998-12-01,-0.097
"61","9410170",1999-01-01,-0.072
"62","9410170",1999-02-01,-0.137
"63","9410170",1999-03-01,-0.116
"64","9410170",1999-04-01,-0.098
"65","9410170",1999-05-01,-0.052
"66","9410170",1999-06-01,-0.016
"67","9410170",1999-07-01,0.021
"68","9410170",1999-08-01,0.011
"69","9410170",1999-09-01,0
"70","9410170",1999-10-01,-0.022
"71","9410170",1999-11-01,-0.084
"72","9410170",1999-12-01,-0.083
"73","9410170",2000-01-01,-0.095
"74","9410170",2000-02-01,-0.109
"75","9410170",2000-03-01,-0.097
"76","9410170",2000-04-01,-0.123
"77","9410170",2000-05-01,-0.064
"78","9410170",2000-06-01,0.009
"79","9410170",2000-07-01,0.029
"80","9410170",2000-08-01,0.041
"81","9410170",2000-09-01,0.056
"82","9410170",2000-10-01,0.009
"83","9410170",2000-11-01,-0.041
"84","9410170",2000-12-01,-0.082
"85","9410170",2001-01-01,-0.079
"86","9410170",2001-02-01,-0.084
"87","9410170",2001-03-01,-0.073
"88","9410170",2001-04-01,-0.135
"89","9410170",2001-05-01,-0.025
"90","9410170",2001-06-01,-0.021
"91","9410170",2001-07-01,0.01
"92","9410170",2001-08-01,0.018
"93","9410170",2001-09-01,0.045
"94","9410170",2001-10-01,0.009
"95","9410170",2001-11-01,-0.018
"96","9410170",2001-12-01,-0.052
"97","9410170",2002-01-01,-0.072
"98","9410170",2002-02-01,-0.085
"99","9410170",2002-03-01,-0.106
"100","9410170",2002-04-01,-0.116
"101","9410170",2002-05-01,-0.102
"102","9410170",2002-06-01,-0.039
"103","9410170",2002-07-01,0.027
"104","9410170",2002-08-01,0.02
"105","9410170",2002-09-01,0.09
"106","9410170",2002-10-01,0.026
"107","9410170",2002-11-01,0.066
"108","9410170",2002-12-01,0.035
"109","9410170",2003-01-01,-0.021
"110","9410170",2003-02-01,0.03
"111","9410170",2003-03-01,-0.121
"112","9410170",2003-04-01,-0.098
"113","9410170",2003-05-01,-0.084
"114","9410170",2003-06-01,-0.018
"115","9410170",2003-07-01,0.055
"116","9410170",2003-08-01,0.086
"117","9410170",2003-09-01,0.079
"118","9410170",2003-10-01,0.132
"119","9410170",2003-11-01,0.023
"120","9410170",2003-12-01,0.015
"121","9410170",2004-01-01,0.007
"122","9410170",2004-02-01,-0.056
"123","9410170",2004-03-01,-0.017
"124","9410170",2004-04-01,-0.075
"125","9410170",2004-05-01,-0.014
"126","9410170",2004-06-01,0.022
"127","9410170",2004-07-01,0.025
"128","9410170",2004-08-01,0.045
"129","9410170",2004-09-01,0.121
"130","9410170",2004-10-01,0.073
"131","9410170",2004-11-01,0.032
"132","9410170",2004-12-01,0.049
"133","9410170",2005-01-01,0.068
"134","9410170",2005-02-01,0.048
"135","9410170",2005-03-01,-0.069
"136","9410170",2005-04-01,-0.051
"137","9410170",2005-05-01,-0.025
"138","9410170",2005-06-01,-0.015
"139","9410170",2005-07-01,0.058
"140","9410170",2005-08-01,0.064
"141","9410170",2005-09-01,0.048
"142","9410170",2005-10-01,0.044
"143","9410170",2005-11-01,0.005
"144","9410170",2005-12-01,-0.027
"145","9410170",2006-01-01,-0.07
"146","9410170",2006-02-01,-0.076
"147","9410170",2006-03-01,-0.103
"148","9410170",2006-04-01,-0.066
"149","9410170",2006-05-01,0.001
"150","9410170",2006-06-01,0.036
"151","9410170",2006-07-01,0.129
"152","9410170",2006-08-01,0.088
"153","9410170",2006-09-01,0.117
"154","9410170",2006-10-01,0.099
"155","9410170",2006-11-01,0.07
"156","9410170",2006-12-01,0.026
"157","9410170",2007-01-01,0.008
"158","9410170",2007-02-01,-0.078
"159","9410170",2007-03-01,-0.116
"160","9410170",2007-04-01,-0.08
"161","9410170",2007-05-01,-0.06
"162","9410170",2007-06-01,-0.028
"163","9410170",2007-07-01,0.058
"164","9410170",2007-08-01,0.068
"165","9410170",2007-09-01,0.061
"166","9410170",2007-10-01,-0.007
"167","9410170",2007-11-01,-0.03
"168","9410170",2007-12-01,-0.037
"169","9410170",2008-01-01,-0.043
"170","9410170",2008-02-01,-0.065
"171","9410170",2008-03-01,-0.111
"172","9410170",2008-04-01,-0.105
"173","9410170",2008-05-01,-0.023
"174","9410170",2008-06-01,0.043
"175","9410170",2008-07-01,0.098
"176","9410170",2008-08-01,0.133
"177","9410170",2008-09-01,0.119
"178","9410170",2008-10-01,0.065
"179","9410170",2008-11-01,0.027
"180","9410170",2008-12-01,0.007
"181","9410170",2009-01-01,-0.042
"182","9410170",2009-02-01,-0.06
"183","9410170",2009-03-01,-0.065
"184","9410170",2009-04-01,-0.073
"185","9410170",2009-05-01,-0.018
"186","9410170",2009-06-01,0.026
"187","9410170",2009-07-01,0.062
"188","9410170",2009-08-01,0.079
"189","9410170",2009-09-01,0.119
"190","9410170",2009-10-01,0.147
"191","9410170",2009-11-01,0.071
"192","9410170",2009-12-01,0.123
"193","9410170",2010-01-01,0.102
"194","9410170",2010-02-01,0.064
"195","9410170",2010-03-01,-0.056
"196","9410170",2010-04-01,-0.004
"197","9410170",2010-05-01,-0.066
"198","9410170",2010-06-01,-0.002
"199","9410170",2010-07-01,0.01
"200","9410170",2010-08-01,0.042
"201","9410170",2010-09-01,0.056
"202","9410170",2010-10-01,0.031
"203","9410170",2010-11-01,0.005
"204","9410170",2010-12-01,0.021
"205","9410170",2011-01-01,0.007
"206","9410170",2011-02-01,-0.048
"207","9410170",2011-03-01,-0.077
"208","9410170",2011-04-01,-0.026
"209","9410170",2011-05-01,0.002
"210","9410170",2011-06-01,0.033
"211","9410170",2011-07-01,0.1
"212","9410170",2011-08-01,0.076
"213","9410170",2011-09-01,0.072
"214","9410170",2011-10-01,0.038
"215","9410170",2011-11-01,0.012
"216","9410170",2011-12-01,0.006
"217","9410170",2012-01-01,-0.004
"218","9410170",2012-02-01,-0.035
"219","9410170",2012-03-01,-0.06
"220","9410170",2012-04-01,-0.048
"221","9410170",2012-05-01,0.002
"222","9410170",2012-06-01,0.071
"223","9410170",2012-07-01,0.06
"224","9410170",2012-08-01,0.146
"225","9410170",2012-09-01,0.154
"226","9410170",2012-10-01,0.12
"227","9410170",2012-11-01,0.048
"228","9410170",2012-12-01,0.037
"229","9410170",2013-01-01,-0.027
"230","9410170",2013-02-01,-0.049
"231","9410170",2013-03-01,-0.048
"232","9410170",2013-04-01,-0.018
"233","9410170",2013-05-01,0
"234","9410170",2013-06-01,0.035
"235","9410170",2013-07-01,0.078
"236","9410170",2013-08-01,0.075
"237","9410170",2013-09-01,0.134
"238","9410170",2013-10-01,0.115
"239","9410170",2013-11-01,0.078
"240","9410170",2013-12-01,0.06
"241","9410170",2014-01-01,0.064
"242","9410170",2014-02-01,-0.008
"243","9410170",2014-03-01,0.009
"244","9410170",2014-04-01,0.028
"245","9410170",2014-05-01,0.083
"246","9410170",2014-06-01,0.104
"247","9410170",2014-07-01,0.14
"248","9410170",2014-08-01,0.138
"249","9410170",2014-09-01,0.231
"250","9410170",2014-10-01,0.22
"251","9410170",2014-11-01,0.116
"252","9410170",2014-12-01,0.159
"253","9410170",2015-01-01,0.095
"254","9410170",2015-02-01,0.053
"255","9410170",2015-03-01,0.06
"256","9410170",2015-04-01,0.043
"257","9410170",2015-05-01,0.065
"258","9410170",2015-06-01,0.114
"259","9410170",2015-07-01,0.175
"260","9410170",2015-08-01,0.175
"261","9410170",2015-09-01,0.298
"262","9410170",2015-10-01,0.289
"263","9410170",2015-11-01,0.219
"264","9410170",2015-12-01,0.183
"265","9410170",2016-01-01,0.086
"266","9410170",2016-02-01,0.09
"267","9410170",2016-03-01,0.038
"268","9410170",2016-04-01,-0.003
"269","9410170",2016-05-01,0.008
"270","9410170",2016-06-01,0.074
"271","9410170",2016-07-01,0.122
"272","9410170",2016-08-01,0.153
"273","9410170",2016-09-01,0.155
"274","9410170",2016-10-01,0.11
"275","9410170",2016-11-01,0.1
"276","9410170",2016-12-01,0.07
"277","9410170",2017-01-01,0.075
"278","9410170",2017-02-01,0.047
"279","9410170",2017-03-01,0.021
"280","9410170",2017-04-01,0.012
"281","9410170",2017-05-01,0.049
"282","9410170",2017-06-01,0.107
"283","9410170",2017-07-01,0.142
"284","9410170",2017-08-01,0.158
"285","9410170",2017-09-01,0.152
"286","9410170",2017-10-01,0.159
"287","9410170",2017-11-01,0.095
"288","9410170",2017-12-01,0.099
"289","9410170",2018-01-01,0.069
"290","9410170",2018-02-01,0.064
"291","9410170",2018-03-01,0.003
"292","9410170",2018-04-01,-0.023
"293","9410170",2018-05-01,0.023
"294","9410170",2018-06-01,0.078
"295","9410170",2018-07-01,0.122
"296","9410170",2018-08-01,0.168
"297","9410170",2018-09-01,0.156
"298","9410170",2018-10-01,0.184
"299","9410170",2018-11-01,0.153
"300","9410170",2018-12-01,0.118
"301","9410170",2019-01-01,0.088
"302","9410170",2019-02-01,0.033
"303","9410170",2019-03-01,0.015
"304","9410170",2019-04-01,0.03
"305","9410170",2019-05-01,0.011
"306","9410170",2019-06-01,0.063
"307","9410170",2019-07-01,0.089
"308","9410170",2019-08-01,0.103
"309","9410170",2019-09-01,0.162
"310","9410170",2019-10-01,0.116
"311","9410170",2019-11-01,0.168
"312","9410170",2019-12-01,0.114
"313","9413450",1994-01-01,0.017
"314","9413450",1994-02-01,0.008
"315","9413450",1994-03-01,-0.038
"316","9413450",1994-04-01,-0.112
"317","9413450",1994-05-01,-0.08
"318","9413450",1994-06-01,-0.067
"319","9413450",1994-07-01,0.002
"320","9413450",1994-08-01,0.005
"321","9413450",1994-09-01,0.022
"322","9413450",1994-10-01,0.041
"323","9413450",1994-11-01,-0.016
"324","9413450",1994-12-01,0.028
"325","9413450",1995-01-01,0.11
"326","9413450",1995-02-01,0.038
"327","9413450",1995-03-01,0.052
"328","9413450",1995-04-01,-0.099
"329","9413450",1995-05-01,-0.073
"330","9413450",1995-06-01,-0.061
"331","9413450",1995-07-01,0
"332","9413450",1995-08-01,0.057
"333","9413450",1995-09-01,0.05
"334","9413450",1995-10-01,0.036
"335","9413450",1995-11-01,-0.023
"336","9413450",1995-12-01,-0.003
"337","9413450",1996-01-01,-0.041
"338","9413450",1996-02-01,0.04
"339","9413450",1996-03-01,-0.033
"340","9413450",1996-04-01,-0.104
"341","9413450",1996-05-01,-0.069
"342","9413450",1996-06-01,-0.071
"343","9413450",1996-07-01,0.007
"344","9413450",1996-08-01,0.008
"345","9413450",1996-09-01,0.041
"346","9413450",1996-10-01,0.002
"347","9413450",1996-11-01,-0.039
"348","9413450",1996-12-01,0.009
"349","9413450",1997-01-01,0.023
"350","9413450",1997-02-01,-0.084
"351","9413450",1997-03-01,-0.067
"352","9413450",1997-04-01,-0.122
"353","9413450",1997-05-01,-0.034
"354","9413450",1997-06-01,0.022
"355","9413450",1997-07-01,0.043
"356","9413450",1997-08-01,0.109
"357","9413450",1997-09-01,0.115
"358","9413450",1997-10-01,0.156
"359","9413450",1997-11-01,0.218
"360","9413450",1997-12-01,0.19
"361","9413450",1998-01-01,0.163
"362","9413450",1998-02-01,0.137
"363","9413450",1998-03-01,0.027
"364","9413450",1998-04-01,-0.05
"365","9413450",1998-05-01,-0.023
"366","9413450",1998-06-01,0.007
"367","9413450",1998-07-01,0.023
"368","9413450",1998-08-01,0.062
"369","9413450",1998-09-01,0.085
"370","9413450",1998-10-01,-0.011
"371","9413450",1998-11-01,-0.031
"372","9413450",1998-12-01,-0.117
"373","9413450",1999-01-01,-0.06
"374","9413450",1999-02-01,-0.113
"375","9413450",1999-03-01,-0.077
"376","9413450",1999-04-01,-0.113
"377","9413450",1999-05-01,-0.112
"378","9413450",1999-06-01,-0.056
"379","9413450",1999-07-01,-0.01
"380","9413450",1999-08-01,-0.027
"381","9413450",1999-09-01,0.016
"382","9413450",1999-10-01,-0.03
"383","9413450",1999-11-01,-0.057
"384","9413450",1999-12-01,-0.106
"385","9413450",2000-01-01,-0.069
"386","9413450",2000-02-01,0.006
"387","9413450",2000-03-01,-0.087
"388","9413450",2000-04-01,-0.099
"389","9413450",2000-05-01,-0.082
"390","9413450",2000-06-01,0.003
"391","9413450",2000-07-01,-0.008
"392","9413450",2000-08-01,0.004
"393","9413450",2000-09-01,0.044
"394","9413450",2000-10-01,0.024
"395","9413450",2000-11-01,-0.057
"396","9413450",2000-12-01,-0.062
"397","9413450",2001-01-01,-0.029
"398","9413450",2001-02-01,-0.04
"399","9413450",2001-03-01,-0.032
"400","9413450",2001-04-01,-0.129
"401","9413450",2001-05-01,-0.037
"402","9413450",2001-06-01,-0.042
"403","9413450",2001-07-01,0
"404","9413450",2001-08-01,-0.007
"405","9413450",2001-09-01,0.038
"406","9413450",2001-10-01,0.01
"407","9413450",2001-11-01,0.012
"408","9413450",2001-12-01,-0.039
"409","9413450",2002-01-01,-0.06
"410","9413450",2002-02-01,-0.069
"411","9413450",2002-03-01,-0.073
"412","9413450",2002-04-01,-0.097
"413","9413450",2002-05-01,-0.104
"414","9413450",2002-06-01,-0.059
"415","9413450",2002-07-01,0.014
"416","9413450",2002-08-01,0.031
"417","9413450",2002-09-01,0.072
"418","9413450",2002-10-01,0.045
"419","9413450",2002-11-01,0.069
"420","9413450",2002-12-01,0.105
"421","9413450",2003-01-01,0.023
"422","9413450",2003-02-01,0.052
"423","9413450",2003-03-01,-0.102
"424","9413450",2003-04-01,-0.067
"425","9413450",2003-05-01,-0.084
"426","9413450",2003-06-01,-0.03
"427","9413450",2003-07-01,-0.012
"428","9413450",2003-08-01,0.057
"429","9413450",2003-09-01,0.065
"430","9413450",2003-10-01,0.059
"431","9413450",2003-11-01,0.013
"432","9413450",2003-12-01,0.049
"433","9413450",2004-01-01,0.021
"434","9413450",2004-02-01,-0.02
"435","9413450",2004-03-01,-0.026
"436","9413450",2004-04-01,-0.093
"437","9413450",2004-05-01,-0.061
"438","9413450",2004-06-01,-0.031
"439","9413450",2004-07-01,0.008
"440","9413450",2004-08-01,0.03
"441","9413450",2004-09-01,0.088
"442","9413450",2004-10-01,0.06
"443","9413450",2004-11-01,0.042
"444","9413450",2004-12-01,0.075
"445","9413450",2005-01-01,0.114
"446","9413450",2005-02-01,0.091
"447","9413450",2005-03-01,0.015
"448","9413450",2005-04-01,-0.051
"449","9413450",2005-05-01,-0.019
"450","9413450",2005-06-01,-0.04
"451","9413450",2005-07-01,0.037
"452","9413450",2005-08-01,0.066
"453","9413450",2005-09-01,0.045
"454","9413450",2005-10-01,0.017
"455","9413450",2005-11-01,-0.018
"456","9413450",2005-12-01,0.008
"457","9413450",2006-01-01,-0.046
"458","9413450",2006-02-01,-0.046
"459","9413450",2006-03-01,-0.036
"460","9413450",2006-04-01,0.022
"461","9413450",2006-05-01,-0.01
"462","9413450",2006-06-01,-0.016
"463","9413450",2006-07-01,0.055
"464","9413450",2006-08-01,0.081
"465","9413450",2006-09-01,0.084
"466","9413450",2006-10-01,0.091
"467","9413450",2006-11-01,0.029
"468","9413450",2006-12-01,0.001
"469","9413450",2007-01-01,-0.024
"470","9413450",2007-02-01,-0.051
"471","9413450",2007-03-01,-0.12
"472","9413450",2007-04-01,-0.118
"473","9413450",2007-05-01,-0.091
"474","9413450",2007-06-01,-0.051
"475","9413450",2007-07-01,0.015
"476","9413450",2007-08-01,0.046
"477","9413450",2007-09-01,0.049
"478","9413450",2007-10-01,-0.013
"479","9413450",2007-11-01,-0.016
"480","9413450",2007-12-01,-0.054
"481","9413450",2008-01-01,0.022
"482","9413450",2008-02-01,-0.029
"483","9413450",2008-03-01,-0.136
"484","9413450",2008-04-01,-0.126
"485","9413450",2008-05-01,-0.066
"486","9413450",2008-06-01,-0.024
"487","9413450",2008-07-01,0.066
"488","9413450",2008-08-01,0.099
"489","9413450",2008-09-01,0.1
"490","9413450",2008-10-01,0.014
"491","9413450",2008-11-01,0.002
"492","9413450",2008-12-01,-0.005
"493","9413450",2009-01-01,-0.064
"494","9413450",2009-02-01,-0.005
"495","9413450",2009-03-01,-0.072
"496","9413450",2009-04-01,-0.123
"497","9413450",2009-05-01,-0.063
"498","9413450",2009-06-01,0.035
"499","9413450",2009-07-01,0.021
"500","9413450",2009-08-01,0.052
"501","9413450",2009-09-01,0.062
"502","9413450",2009-10-01,0.092
"503","9413450",2009-11-01,0.015
"504","9413450",2009-12-01,0.105
"505","9413450",2010-01-01,0.138
"506","9413450",2010-02-01,0.094
"507","9413450",2010-03-01,-0.031
"508","9413450",2010-04-01,0.001
"509","9413450",2010-05-01,-0.114
"510","9413450",2010-06-01,-0.069
"511","9413450",2010-07-01,0
"512","9413450",2010-08-01,0.015
"513","9413450",2010-09-01,0.016
"514","9413450",2010-10-01,0
"515","9413450",2010-11-01,-0.024
"516","9413450",2010-12-01,0.025
"517","9413450",2011-01-01,-0.024
"518","9413450",2011-02-01,-0.024
"519","9413450",2011-03-01,-0.039
"520","9413450",2011-04-01,-0.067
"521","9413450",2011-05-01,-0.048
"522","9413450",2011-06-01,0.004
"523","9413450",2011-07-01,0.046
"524","9413450",2011-08-01,0.028
"525","9413450",2011-09-01,0.053
"526","9413450",2011-10-01,0.029
"527","9413450",2011-11-01,-0.005
"528","9413450",2011-12-01,-0.03
"529","9413450",2012-01-01,-0.034
"530","9413450",2012-02-01,-0.059
"531","9413450",2012-03-01,-0.062
"532","9413450",2012-04-01,-0.066
"533","9413450",2012-05-01,-0.068
"534","9413450",2012-06-01,-0.005
"535","9413450",2012-07-01,0.017
"536","9413450",2012-08-01,0.064
"537","9413450",2012-09-01,0.064
"538","9413450",2012-10-01,0.067
"539","9413450",2012-11-01,0.043
"540","9413450",2012-12-01,0.061
"541","9413450",2013-01-01,-0.053
"542","9413450",2013-02-01,-0.079
"543","9413450",2013-03-01,-0.079
"544","9413450",2013-04-01,-0.071
"545","9413450",2013-05-01,-0.064
"546","9413450",2013-06-01,-0.011
"547","9413450",2013-07-01,0.041
"548","9413450",2013-08-01,0.029
"549","9413450",2013-09-01,0.065
"550","9413450",2013-10-01,0.058
"551","9413450",2013-11-01,0.034
"552","9413450",2013-12-01,0.012
"553","9413450",2014-01-01,0.034
"554","9413450",2014-02-01,-0.015
"555","9413450",2014-03-01,0.003
"556","9413450",2014-04-01,-0.002
"557","9413450",2014-05-01,0.004
"558","9413450",2014-06-01,0.049
"559","9413450",2014-07-01,0.104
"560","9413450",2014-08-01,0.105
"561","9413450",2014-09-01,0.168
"562","9413450",2014-10-01,0.176
"563","9413450",2014-11-01,0.086
"564","9413450",2014-12-01,0.171
"565","9413450",2015-01-01,0.088
"566","9413450",2015-02-01,0.075
"567","9413450",2015-03-01,0.023
"568","9413450",2015-04-01,-0.015
"569","9413450",2015-05-01,0.039
"570","9413450",2015-06-01,0.072
"571","9413450",2015-07-01,0.14
"572","9413450",2015-08-01,0.117
"573","9413450",2015-09-01,0.223
"574","9413450",2015-10-01,0.211
"575","9413450",2015-11-01,0.12
"576","9413450",2015-12-01,0.125
"577","9413450",2016-01-01,0.096
"578","9413450",2016-02-01,0.04
"579","9413450",2016-03-01,0.042
"580","9413450",2016-04-01,-0.056
"581","9413450",2016-05-01,-0.003
"582","9413450",2016-06-01,0.014
"583","9413450",2016-07-01,0.041
"584","9413450",2016-08-01,0.095
"585","9413450",2016-09-01,0.097
"586","9413450",2016-10-01,0.08
"587","9413450",2016-11-01,0.065
"588","9413450",2016-12-01,0.036
"589","9413450",2017-01-01,0.1
"590","9413450",2017-02-01,0.103
"591","9413450",2017-03-01,-0.005
"592","9413450",2017-04-01,-0.03
"593","9413450",2017-05-01,0.001
"594","9413450",2017-06-01,0.039
"595","9413450",2017-07-01,0.063
"596","9413450",2017-08-01,0.118
"597","9413450",2017-09-01,0.131
"598","9413450",2017-10-01,0.066
"599","9413450",2017-11-01,0.062
"600","9413450",2017-12-01,0.043
"601","9413450",2018-01-01,0.037
"602","9413450",2018-02-01,0.003
"603","9413450",2018-03-01,0.022
"604","9413450",2018-04-01,-0.052
"605","9413450",2018-05-01,-0.006
"606","9413450",2018-06-01,0.017
"607","9413450",2018-07-01,0.059
"608","9413450",2018-08-01,0.089
"609","9413450",2018-09-01,0.093
"610","9413450",2018-10-01,0.146
"611","9413450",2018-11-01,0.13
"612","9413450",2018-12-01,0.093
"613","9413450",2019-01-01,0.113
"614","9413450",2019-02-01,0.095
"615","9413450",2019-03-01,0.049
"616","9413450",2019-04-01,0.015
"617","9413450",2019-05-01,0.043
"618","9413450",2019-06-01,0.058
"619","9413450",2019-07-01,0.054
"620","9413450",2019-08-01,0.07
"621","9413450",2019-09-01,0.114
"622","9413450",2019-10-01,0.061
"623","9413450",2019-11-01,0.132
"624","9413450",2019-12-01,0.136
